순번,기업,제목,날짜,링크,감성,감성_신뢰도,긍정키워드,부정키워드,거래신호,신호_신뢰도,분석시각
1,삼성전자,"삼성전자, ‘갤럭시 북6 울트라’, ‘갤럭시 북6 프로’ 국내 출시 - samsung.com","Sun, 25 Jan 2026 23:00:00 GMT",https://news.google.com/rss/articles/CBMivwJBVV95cUxOWnowWnNEVEhadU83ZDFoV0Nhc2YyeVc2c3IyYXA0YVVueFVRaU5aMFBQNWJ4VU1fNGFNa0dKVjV1MzBqM0dwbkxERW41T3BMcnQ2QW1EbGtDTGpEc3lWaHZvWXRoZEZjazA5S1l3UDB5d2lFeXpLdUN2c2JUa3o2ZUg0TVdsbC05UmtvazlNV2V4dm9oVFlnY0VGRHhpTUpDanUwTG1kUlJYZUxEaW5CRzJqV0tSOG1vTFZiVFF5b1c1NkFVWllRTEhXV3VoSTRtWGVQWkljQnFoeEw3VU12YWV2Tl9HUjlZU0lkVEZ2M0E3eEZHSWkzdGJNQWRwVlp2SGVZeVdEcHdWcGN6Wm9SYk1tZ2VUQUtfMTFFU0k1bHM5bDU4XzFSQ3NMQURmS0pQZloyRktCVUNKd21Dc2JR?oc=5,중립,50.0%,1,0,관망,52.1%,2026-01-26 16:49:14
2,삼성전자,"“AI 사용성 강화”… 삼성전자, ‘갤럭시 북6 울트라’·‘갤럭시 북6 프로’ 출시 - 동아일보","Mon, 26 Jan 2026 01:56:45 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE9ENTJ5TWlRRVVPUFBqR1VubDdmeE5CRzVlbktsVUhmOXVGX182eDVYbFpvSWg2YzB2cHRULVVZdWpUOEx0Wk5xeHhPa2JUOTN1WTUtMTdxTEtnNDVZdzRQRnExVlNXNVRpaFgydjBPONIBZkFVX3lxTE1JaWNac2RtbG9qVGVkbEd2X21VYzZmYldzdlpNVEp0MG12dWVsQVRHRENiN2ZwR0Vadkx5eFhBbGFIWGxLU3MzdHpsLTJSaVNLTE1jMGtQV1Y3Mk13ZzlRVExOb3F5QQ?oc=5,중립,51.0%,1,0,관망,50.5%,2026-01-26 16:49:14
3,삼성전자,"삼성전자, ‘갤럭시 북6’ 시리즈 국내 상륙…강력해진 ‘갤럭시 AI’ 경험 - kyeonggi.com","Mon, 26 Jan 2026 07:44:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE82NjZxOEt5LTh3UjlYbTJmMnhMdXFKWTBreTlNNDU1cjdSOEdhb1F0RUJUMHhydnVaWm1PQzVVVDIyNVlFT1p2MVcxdTNnQzR5SHhoNGphVFlhc0E?oc=5,중립,50.5%,0,0,관망,52.3%,2026-01-26 16:49:15
4,삼성전자,"삼성전자·SK하이닉스, 29일 사상 처음 나란히 실적발표 - v.daum.net","Sun, 25 Jan 2026 22:51:43 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBJNURmelUwUnp4Yzl6Y0R0aHpiUFdlQXk0S2ZVQnI5RkE1Uzh3dzV0MXR0WVRicWRsdE5OUWNyd1ZwV0hHTlFGSUt6VC1pZkU?oc=5,중립,48.3%,0,1,관망,48.2%,2026-01-26 16:49:15
5,삼성전자,삼성전자에 과반 단일 노조 출범 초읽기...하이닉스 대비 적은 인센티브에 불만 탓? - 조선일보,"Mon, 26 Jan 2026 07:05:00 GMT",https://news.google.com/rss/articles/CBMigwFBVV95cUxPbGREOGFBZk5DSUN6ZkxhUUJzaGVHeDc5TTBiVFppeDJyU0hyWFllU1ZFRXV1cUZSX2NvbGcxTlpvZDFBN3VjSmFQbVUzY290d2RIMmRoWHJZM21jWTZnVVlJVnpYLWlDTnF3dVI0V0I1VHVRb1NNMFJJX3puZEhhWmVHUdIBlwFBVV95cUxQTk41dl95TFNpOUFic0ZQZGl0YWV1dHJyOHlvNXZvZ0JKTmprTDB4VDVRREZqSjVIMUsyUlo3ME52QjZJSmR4cUloN2VPbnNCb3BBMF90dzRqMEpKSHlrRWNFNDNnRk9iX3djN0drYUk2TkhWYTZ6dzBPTlYzM1FPZGJiUkFuQnpmYXByZlZHU3NBbkdqMjFJ?oc=5,중립,47.2%,0,0,관망,46.8%,2026-01-26 16:49:15
